Man. ID,Manufucturer Name,Turb. ID,Turbine Name,Power (kW) at wind speed (m/s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,26.5,27,27.5,28,28.5,29,29.5,30,30.5,31,31.5,32,32.5,33,33.5,34,34.5,35,,
16,AAER,102,A1000,0,0,0,0,0,0,0,0,13,25,40,67,108,148,200,250,305,365,438,510,585,660,760,860,960,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
46,Acciona,180,AW-1500/77,0,0,0,0,0,0,0,36,70,109,157,211,268,338,427,526,632,746,859,981,1100,1227,1353,1450,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
85,ACSA,398,A27/225,0,0,0,0,0,0,0,2,5,11,17,25,33,44,55,69,83,99,115,132,149,165,181,195,205,214,220,222,224,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
131,Aeronautica Windpower,752,29-225,0,0,0,0,1,4,9,18,28,42,55,70,85,101,117,131,145,158,171,181,190,198,205,213,218,222,224,226,228,228,228,228,227,226,225,224,223,220,218,216,215,214,212,212,212,212,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
149,Aerovide,934,aM 1.5/77,0,0,0,0,0,0,0,15,33,79,128,182,240,318,400,508,619,754,889,1041,1192,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,Enercon,495,E82/2300,0,0,0,0,3,12,25,50,82,125,174,245,321,427,532,674,815,998,1180,1380,1580,1735,1890,1995,2100,2175,2240,2280,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,Enercon,929,E82/2350,0,0,0,0,3,12,25,50,82,125,174,245,321,427,532,674,815,998,1180,1380,1580,1735,1890,1995,2100,2175,2250,2315,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,Enercon,554,E82/3000,0,0,0,0,3,12,25,50,82,120,174,240,321,420,532,674,815,998,1180,1380,1580,1740,1900,2050,2200,2340,2480,2590,2700,2775,2850,2900,2950,3000,3020,3020,3020,3020,3020,3020,3020,3020,3020,3020,3020,3020,3020,3020,3020,3020,3020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,Enercon,859,E92/2350,0,0,0,0,8,14,25,45,75,130,192,270,351,506,660,810,980,1190,1395,1610,1800,1940,2060,2190,2270,2310,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,Gamesa,46,G87/2000,0,0,0,0,0,0,15,42,70,114,158,208,258,358,457,631,805,969,1132,1300,1468,1609,1750,1825,1900,1950,1990,1995,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,Gamesa,47,G90/2000,0,0,0,0,0,18,27,52,77,123,170,241,312,427,542,715,888,1068,1249,1424,1600,1750,1901,1970,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1960,1890,1786,1682,1559,1436,1296,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,Gamesa,692,G97/2000,0,0,0,0,0,0,11,30,65,130,204,310,435,577,719,880,1040,1217,1394,1590,1750,1845,1907,1940,1961,1972,1983,1992,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1985,1965,1945,1883,1792,1700,1590,1470,1332,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,GE Vernova,648,2.75-103,0,0,0,0,0,0,10,80,160,250,340,460,590,770,952,1170,1389,1650,1869,2070,2260,2380,2487,2570,2643,2690,2730,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,GE Vernova,750,2.75-120,0,0,0,0,0,0,25,89,171,269,389,533,704,906,1136,1400,1674,1945,2173,2373,2518,2619,2696,2739,2766,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,GE Vernova,607,2.85-103,0,0,0,0,0,0,0,0,45,135,236,362,492,642,803,1005,1250,1519,1788,2022,2256,2425,2588,2695,2780,2825,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,GE Vernova,1089,3.2-130,0,0,0,0,0,0,56,128,216,321,449,606,791,1011,1235,1547,1858,2175,2473,2737,2933,3067,3165,3202,3221,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,3230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,GE Vernova,1144,3.4-137,0,0,0,0,0,0,54,140,234,362,497,686,880,1142,1407,1734,2060,2386,2709,2935,3156,3280,3405,3421,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,3430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,GE Vernova,62,3.6sl,0,0,0,0,0,15,35,70,109,170,236,350,467,580,720,890,1086,1325,1564,1810,2057,2370,2684,2940,3133,3280,3393,3475,3542,3570,3593,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,GE Vernova,1645,5.3-158,0,0,0,0,0,0,88,186,310,466,657,892,1168,1496,1876,2303,2761,3227,3668,4075,4452,4762,4998,5165,5253,5298,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,GE Vernova,1788,5.5-158,0,0,0,0,0,0,90,188,314,471,664,902,1182,1513,1896,2337,2819,3322,3809,4266,4680,5010,5266,5425,5493,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5452,5390,5252,5065,4850,4688,4556,4462,4388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
